{{Mod
|id                               = ChaosSkillEffectDurationUnique__1
|mod_groups                       = ChaosSkillEffectDuration
|domain                           = 1
|generation_type                  = 3
|required_level                   = 1
|mod_type                         = ChaosSkillEffectDuration
|stat_text                        = Chaos [[Skill|Skills]] have 40% increased [[Skill]] Effect Duration
|stat1_id                         = chaos_skill_effect_duration_+%
|stat1_min                        = 40
|stat1_max                        = 40
|tags                             = chaos
|sell_price1_name                 = Alchemy Shard
|sell_price1_amount               = 4
}}
