{{Mod
|id                               = SynthesisImplicitTotalManaCost2_
|mod_groups                       = IncreaseFlatManaCost
|domain                           = 1
|generation_type                  = 3
|required_level                   = 15
|mod_type                         = IncreaseManaCostFlat
|stat_text                        = -2 to Total [[Mana]] Cost of [[Skill|Skills]]
|stat1_id                         = skill_mana_cost_+
|stat1_min                        = -2
|stat1_max                        = -2
|tags                             = resource, mana
|sell_price1_name                 = Alchemy Shard
|sell_price1_amount               = 1
}}
