{{Mod
|id                               = TinctureDamageOverTimeMultiplier1
|mod_groups                       = DamageOverTimeMultiplier
|domain                           = 34
|generation_type                  = 2
|required_level                   = 1
|name                             = of Acrimony
|mod_type                         = TinctureDamageOverTimeMultiplier
|stat_text                        = +(9-13)% to Damage over Time Multiplier with Melee Weapon [[Attack|Attacks]]
|stat1_id                         = damage_over_time_multiplier_+_with_tinctured_weapons
|stat1_min                        = 9
|stat1_max                        = 13
|spawn_weight1_tag                = tincture
|spawn_weight1_value              = 500
|spawn_weight2_tag                = default
|spawn_weight2_value              = 0
|tags                             = damage, attack
|sell_price1_name                 = Alteration Shard
|sell_price1_amount               = 3
}}
