{{Mod
|id                               = SynthesisImplicitSpellAddedFireDamage2
|mod_groups                       = SpellAddedElementalDamage
|domain                           = 1
|generation_type                  = 3
|required_level                   = 15
|mod_type                         = SpellAddedFireDamage
|stat_text                        = Adds (7-9) to (12-17) [[Fire Damage]] to [[Spell|Spells]]
|stat1_id                         = spell_minimum_added_fire_damage
|stat1_min                        = 7
|stat1_max                        = 9
|stat2_id                         = spell_maximum_added_fire_damage
|stat2_min                        = 12
|stat2_max                        = 17
|tags                             = elemental_damage, caster_damage, damage, elemental, fire, caster
|sell_price1_name                 = Alteration Shard
|sell_price1_amount               = 3
}}
