{{Mod
|id                               = MineDamageLeechedToYouUnique__1
|mod_groups                       = MineDamageLeechedToYou
|domain                           = 1
|generation_type                  = 3
|required_level                   = 1
|mod_type                         = MineDamageLeechedToYou
|stat_text                        = 1% of Damage dealt by your [[Mine|Mines]] is Leeched to you as [[Life]]
|stat1_id                         = mine_damage_leeched_as_life_to_you_permyriad
|stat1_min                        = 100
|stat1_max                        = 100
|tags                             = resource, life
|sell_price1_name                 = Alchemy Shard
|sell_price1_amount               = 6
}}
