{{Mod
|id                               = ChanceToBePoisonedBySpellsUnique__1_
|mod_groups                       = ChanceToBePoisonedBySpells
|domain                           = 1
|generation_type                  = 3
|required_level                   = 1
|mod_type                         = ChanceToBePoisonedBySpells
|stat_text                        = 50% chance for [[Spell]] [[Hit|Hits]] against you to inflict [[Poison]]
|stat1_id                         = spell_hits_against_you_inflict_poison_%
|stat1_min                        = 50
|stat1_max                        = 50
|tags                             = poison, chaos, ailment
|sell_price1_name                 = Alchemy Shard
|sell_price1_amount               = 2
}}
