{{Mod
|id                               = EinharMasterSpellAddedLightningDamage2
|mod_groups                       = SpellAddedElementalDamage
|domain                           = 9
|generation_type                  = 1
|required_level                   = 50
|name                             = Upgraded
|mod_type                         = SpellAddedLightningDamage
|stat_text                        = Adds (2-6) to (73-77) [[Lightning Damage]] to [[Spell|Spells]]
|stat1_id                         = spell_minimum_added_lightning_damage
|stat1_min                        = 2
|stat1_max                        = 6
|stat2_id                         = spell_maximum_added_lightning_damage
|stat2_min                        = 73
|stat2_max                        = 77
|tags                             = elemental_damage, caster_damage, damage, elemental, lightning, caster
|sell_price1_name                 = Alteration Shard
|sell_price1_amount               = 3
}}
