{{Mod
|id                               = LocalVaalElusiveOnUseUnique__1_
|mod_groups                       = LocalVaalElusiveOnUse
|domain                           = 1
|generation_type                  = 3
|required_level                   = 80
|granted_skill                    = UniqueSupportLocalVaalElusiveOnUse
|mod_type                         = LocalVaalElusiveOnUse
|stat_text                        = [[Item socket|Socketed]] Vaal [[Skill|Skills]] grant Elusive when Used
|stat1_id                         = local_display_socketed_vaal_skills_elusive_on_use
|stat1_min                        = 1
|stat1_max                        = 1
|tags                             = vaal
|sell_price1_name                 = Alchemy Shard
|sell_price1_amount               = 6
}}
