{{Mod
|id                               = SynthesisImplicitImmuneToShock1
|mod_groups                       = CannotBeShocked
|domain                           = 1
|generation_type                  = 3
|required_level                   = 56
|mod_type                         = CannotBeShocked
|stat_text                        = Cannot be [[Shock|Shocked]]
|stat1_id                         = base_cannot_be_shocked
|stat1_min                        = 100
|stat1_max                        = 100
|sell_price1_name                 = Alchemy Shard
|sell_price1_amount               = 2
}}
