{{Base item
|rarity_id                               = normal
|name                                    = Misery in Darkness
|class_id                                = DivinationCard
|size_x                                  = 1
|size_y                                  = 1
|flavour_text                            = He wandered the bone-filled depths hoping each corner would be his last.<br>Eventually, he found Light.
|drop_level                              = 70
|tags                                    = armour_divination, unique_divination, unique_armour_divination, divination_card, default
|metadata_id                             = Metadata/Items/DivinationCards/DivinationCardMiseryInDarkness
|stack_size                              = 6
|description                             = {{c|unique|{{il|html=|Shroud of the Lightless}}}}
|stack_size_currency_tab                 = 5000
|help_text                               = Shift click to unstack.
}}
