{{Mod
|id                               = HasTwoSocketsUnique__1
|mod_groups                       = Other
|domain                           = 1
|generation_type                  = 3
|required_level                   = 57
|mod_type                         = HasXSockets
|stat_text                        = Has 2 [[Item socket|Sockets]]
|stat1_id                         = local_has_X_sockets
|stat1_min                        = 2
|stat1_max                        = 2
|sell_price1_name                 = Alchemy Shard
|sell_price1_amount               = 4
}}
