{{Mod
|id                               = MinionCriticalStrikeMultiplierDelve
|mod_groups                       = MinionCriticalStrikeMultiplier
|domain                           = 1
|generation_type                  = 2
|required_level                   = 60
|name                             = of the Underground
|mod_type                         = MinionCriticalStrikeMultiplier
|stat_text                        = [[Minion|Minions]] have +(30-38)% to [[Critical Strike Multiplier]]
|stat1_id                         = minion_critical_strike_multiplier_+
|stat1_min                        = 30
|stat1_max                        = 38
|spawn_weight1_tag                = default
|spawn_weight1_value              = 0
|tags                             = damage, minion, critical
|sell_price1_name                 = Alteration Shard
|sell_price1_amount               = 5
}}
