{{Mod
|id                               = LocalGolemLifeRegenerationUnique__1
|mod_groups                       = LocalGolemLifeRegeneration
|domain                           = 1
|generation_type                  = 3
|required_level                   = 1
|granted_skill                    = UniqueSupportLocalGolemLifeRegeneration
|mod_type                         = LocalGolemLifeRegeneration
|stat_text                        = [[Item socket|Socketed]] Golem [[Skill|Skills]] have [[Minion|Minions]] Regenerate 5% of [[Life]] per second
|stat1_id                         = local_display_socketed_golem_life_regeneration_rate_per_minute_%
|stat1_min                        = 300
|stat1_max                        = 300
|tags                             = skill, resource, life, minion, gem
|sell_price1_name                 = Alchemy Shard
|sell_price1_amount               = 6
}}
